"Reaction","Days","Subject","Group"
276.2012,1,8,"group_1"
243.3647,2,8,"group_1"
254.6723,3,8,"group_1"
279.0244,4,8,"group_1"
284.1912,5,8,"group_1"
305.5248,6,8,"group_1"
331.5229,7,8,"group_1"
335.7469,8,8,"group_1"
377.299,9,8,"group_1"
241.6083,0,9,"group_1"
273.9472,1,9,"group_1"
254.4907,2,9,"group_1"
270.8021,3,9,"group_1"
251.4519,4,9,"group_1"
254.6362,5,9,"group_1"
245.4523,6,9,"group_1"
235.311,7,9,"group_1"
235.7541,8,9,"group_1"
237.2466,9,9,"group_1"
312.3666,0,10,"group_1"
313.8058,1,10,"group_1"
291.6112,2,10,"group_1"
346.1222,3,10,"group_1"
365.7324,4,10,"group_1"
391.8385,5,10,"group_1"
404.2601,6,10,"group_1"
416.6923,7,10,"group_1"
455.8643,8,10,"group_1"
458.9167,9,10,"group_1"
236.1032,0,11,"group_1"
230.3167,1,11,"group_1"
238.9256,2,11,"group_1"
254.922,3,11,"group_1"
250.7103,4,11,"group_1"
269.7744,5,11,"group_1"
281.5648,6,11,"group_1"
308.102,7,11,"group_1"
336.2806,8,11,"group_1"
351.6451,9,11,"group_1"
256.2968,0,12,"group_1"
243.4543,1,12,"group_1"
256.2046,2,12,"group_1"
255.5271,3,12,"group_1"
268.9165,4,12,"group_1"
329.7247,5,12,"group_1"
379.4445,6,12,"group_1"
362.9184,7,12,"group_1"
394.4872,8,12,"group_1"
389.0527,9,12,"group_1"
250.5265,0,13,"group_1"
300.0576,1,13,"group_1"
269.8939,2,13,"group_1"
280.5891,3,13,"group_1"
271.8274,4,13,"group_1"
304.6336,5,13,"group_1"
287.7466,6,13,"group_1"
266.5955,7,13,"group_1"
321.5418,8,13,"group_1"
347.5655,9,13,"group_1"
221.6771,0,14,"group_1"
298.1939,1,14,"group_1"
326.8785,2,14,"group_1"
346.8555,3,14,"group_1"
348.7402,4,14,"group_1"
352.8287,5,14,"group_1"
354.4266,6,14,"group_1"
360.4326,7,14,"group_1"
375.6406,8,14,"group_1"
388.5417,9,14,"group_1"
271.9235,0,15,"group_1"
268.4369,1,15,"group_1"
257.2424,2,15,"group_1"
277.6566,3,15,"group_1"
314.8222,4,15,"group_1"
317.2135,5,15,"group_1"
298.1353,6,15,"group_1"
348.1229,7,15,"group_1"
340.28,8,15,"group_1"
366.5131,9,15,"group_1"
225.264,0,16,"group_1"
234.5235,1,16,"group_1"
238.9008,2,16,"group_1"
240.473,3,16,"group_1"
267.5373,4,16,"group_1"
344.1937,5,16,"group_1"
281.1481,6,16,"group_1"
347.5855,7,16,"group_1"
365.163,8,16,"group_1"
372.2288,9,16,"group_1"
269.8804,0,17,"group_1"
272.4428,1,17,"group_1"
277.8989,2,17,"group_1"
281.7895,3,17,"group_1"
279.1705,4,17,"group_1"
284.512,5,17,"group_1"
259.2658,6,17,"group_1"
304.6306,7,17,"group_1"
350.7807,8,17,"group_1"
369.4692,9,17,"group_1"
269.4117,0,18,"group_1"
273.474,1,18,"group_1"
297.5968,2,18,"group_1"
310.6316,3,18,"group_1"
287.1726,4,18,"group_1"
329.6076,5,18,"group_1"
334.4818,6,18,"group_1"
343.2199,7,18,"group_1"
369.1417,8,18,"group_1"
364.1236,9,18,"group_1"
360.352470012009,0,19,"group_2"
372.88019895466,1,19,"group_2"
349.008135288348,2,19,"group_2"
424.277680023732,3,19,"group_2"
466.319124686545,4,19,"group_2"
497.089121443875,5,19,"group_2"
489.077883324495,6,19,"group_2"
390.052428697203,7,19,"group_2"
526.117548478447,8,19,"group_2"
568.47503488554,9,19,"group_2"
338.132949461452,0,20,"group_2"
300.251519330965,1,20,"group_2"
323.499470799743,2,20,"group_2"
291.66020423576,3,20,"group_2"
305.121590352454,4,20,"group_2"
316.312262856398,5,20,"group_2"
328.18907141748,6,20,"group_2"
309.162939952819,7,20,"group_2"
323.631037717356,8,20,"group_2"
344.667873301899,9,20,"group_2"
293.967475449474,0,21,"group_2"
315.688699369939,1,21,"group_2"
339.958883175116,2,21,"group_2"
334.715320608366,3,21,"group_2"
332.044793585889,4,21,"group_2"
329.83226954185,5,21,"group_2"
337.881073006476,6,21,"group_2"
352.444593890969,7,21,"group_2"
363.888035128413,8,21,"group_2"
322.235809392715,9,21,"group_2"
440.102624304451,0,22,"group_2"
401.838553514559,1,22,"group_2"
390.642150572412,2,22,"group_2"
392.409713127201,3,22,"group_2"
389.167798848519,4,22,"group_2"
403.007028292493,5,22,"group_2"
386.270550879641,6,22,"group_2"
413.311122365986,7,22,"group_2"
414.765932803706,8,22,"group_2"
443.577612063466,9,22,"group_2"
378.398388257547,0,23,"group_2"
390.335076195427,1,23,"group_2"
435.06139416662,2,23,"group_2"
417.840387773636,3,23,"group_2"
427.866035738643,4,23,"group_2"
386.277144638535,5,23,"group_2"
391.396049132944,6,23,"group_2"
462.007340634303,7,23,"group_2"
398.927838907884,8,23,"group_2"
483.610981896461,9,23,"group_2"
346.868168788156,0,24,"group_2"
344.045306503267,1,24,"group_2"
339.699067478408,2,24,"group_2"
388.784663057776,3,24,"group_2"
420.171946519782,4,24,"group_2"
412.854609379942,5,24,"group_2"
539.165757050421,6,24,"group_2"
458.243097538342,7,24,"group_2"
429.10494103607,8,24,"group_2"
362.119067920343,9,24,"group_2"
394.838593913109,0,25,"group_2"
375.807650726551,1,25,"group_2"
389.616578935258,2,25,"group_2"
399.76492034839,3,25,"group_2"
405.398067684898,4,25,"group_2"
442.32328219255,5,25,"group_2"
430.841928326325,6,25,"group_2"
449.770638892757,7,25,"group_2"
436.21073324637,8,25,"group_2"
473.884500591751,9,25,"group_2"
361.62890612291,0,26,"group_2"
388.421875991222,1,26,"group_2"
328.431085555257,2,26,"group_2"
361.651445420366,3,26,"group_2"
379.636311268367,4,26,"group_2"
394.482036014636,5,26,"group_2"
413.146314302935,6,26,"group_2"
427.534429977214,7,26,"group_2"
440.495269377662,8,26,"group_2"
479.368861280914,9,26,"group_2"
347.100006952813,0,27,"group_2"
373.539309545628,1,27,"group_2"
356.531970669222,2,27,"group_2"
369.440032574429,3,27,"group_2"
348.278239982983,4,27,"group_2"
349.01081493819,5,27,"group_2"
315.054166270887,6,27,"group_2"
327.416461840874,7,27,"group_2"
337.807824800423,8,27,"group_2"
329.479616125752,9,27,"group_2"
426.181336368445,0,28,"group_2"
415.546278889539,1,28,"group_2"
393.966867061575,2,28,"group_2"
438.379261437266,3,28,"group_2"
472.144021950787,4,28,"group_2"
485.766372086264,5,28,"group_2"
510.300445061612,6,28,"group_2"
509.477355565271,7,28,"group_2"
540.35413955445,8,28,"group_2"
549.026374978731,9,28,"group_2"
335.821102081169,0,29,"group_2"
338.709475957238,1,29,"group_2"
333.186973286449,2,29,"group_2"
344.198152767196,3,29,"group_2"
360.456487282653,4,29,"group_2"
372.28187339529,5,29,"group_2"
393.692331128052,6,29,"group_2"
395.47049754063,7,29,"group_2"
429.216241777613,8,29,"group_2"
454.495151195097,9,29,"group_2"
356.887190201134,0,30,"group_2"
358.104417057253,1,30,"group_2"
355.534227605921,2,30,"group_2"
359.677988511723,3,30,"group_2"
367.554105376006,4,30,"group_2"
434.145004681915,5,30,"group_2"
498.475071576694,6,30,"group_2"
480.619368721292,7,30,"group_2"
473.913315370174,8,30,"group_2"
480.322375999318,9,30,"group_2"
341.539952868892,0,31,"group_2"
400.744371347802,1,31,"group_2"
371.327042043342,2,31,"group_2"
387.781316340709,3,31,"group_2"
377.631923272698,4,31,"group_2"
410.618278577831,5,31,"group_2"
399.789098959914,6,31,"group_2"
360.020519543204,7,31,"group_2"
410.808484086838,8,31,"group_2"
438.701034403144,9,31,"group_2"
319.616366821288,0,32,"group_2"
401.075750615552,1,32,"group_2"
428.175635243375,2,32,"group_2"
448.189929485603,3,32,"group_2"
440.795470514703,4,32,"group_2"
442.053839768807,5,32,"group_2"
460.825464402011,6,32,"group_2"
460.942123655468,7,32,"group_2"
496.796851676101,8,32,"group_2"
474.435184857108,9,32,"group_2"
353.418157792355,0,33,"group_2"
370.450308638265,1,33,"group_2"
356.028817219444,2,33,"group_2"
379.821067832156,3,33,"group_2"
422.289506694915,4,33,"group_2"
417.244345799374,5,33,"group_2"
392.830648542794,6,33,"group_2"
461.943523984352,7,33,"group_2"
449.118760302352,8,33,"group_2"
471.159961496254,9,33,"group_2"
328.60439207079,0,34,"group_2"
337.699756198033,1,34,"group_2"
331.945773009491,2,34,"group_2"
354.789511570457,3,34,"group_2"
363.752294065601,4,34,"group_2"
478.161541641217,5,34,"group_2"
373.508127067339,6,34,"group_2"
432.014662835216,7,34,"group_2"
471.040630548334,8,34,"group_2"
478.358630641415,9,34,"group_2"
354.561451116251,0,35,"group_2"
361.100385659224,1,35,"group_2"
385.958389864803,2,35,"group_2"
380.307075990228,3,35,"group_2"
371.3238459583,4,35,"group_2"
393.878361695689,5,35,"group_2"
344.209464326266,6,35,"group_2"
405.371786326487,7,35,"group_2"
453.137542439439,8,35,"group_2"
462.67873852081,9,35,"group_2"
351.100566503383,0,36,"group_2"
374.713352354556,1,36,"group_2"
390.559194800477,2,36,"group_2"
398.235873963262,3,36,"group_2"
381.619091799278,4,36,"group_2"
441.882028458943,5,36,"group_2"
437.08114146976,6,36,"group_2"
459.161661945514,7,36,"group_2"
463.112570948647,8,36,"group_2"
481.34539235169,9,36,"group_2"
500.454711231047,0,37,"group_3"
509.996933835696,1,37,"group_3"
505.829618498326,2,37,"group_3"
669.808232809802,3,37,"group_3"
747.821880173611,4,37,"group_3"
863.938282601892,5,37,"group_3"
802.957576822656,6,37,"group_3"
607.965061495953,7,37,"group_3"
909.103795418633,8,37,"group_3"
988.679485225214,9,37,"group_3"
468.569436650845,0,38,"group_3"
432.573794167266,1,38,"group_3"
420.688818777994,2,38,"group_3"
416.197003301944,3,38,"group_3"
441.958831031172,4,38,"group_3"
454.658569315553,5,38,"group_3"
439.436288275613,6,38,"group_3"
471.561077011185,7,38,"group_3"
492.682232643984,8,38,"group_3"
495.653972819097,9,38,"group_3"
426.120353927909,0,39,"group_3"
398.975881065435,1,39,"group_3"
483.662275391326,2,39,"group_3"
484.518041842735,3,39,"group_3"
491.297609806629,4,39,"group_3"
450.804014920147,5,39,"group_3"
491.32639877722,6,39,"group_3"
541.402736008741,7,39,"group_3"
546.755324126586,8,39,"group_3"
525.394773058355,9,39,"group_3"
656.259571668842,0,40,"group_3"
616.325134643941,1,40,"group_3"
588.749418268208,2,40,"group_3"
577.775437567912,3,40,"group_3"
572.514096827816,4,40,"group_3"
613.630463397319,5,40,"group_3"
572.058259698177,6,40,"group_3"
655.36455337375,7,40,"group_3"
651.24033584548,8,40,"group_3"
766.25703236528,9,40,"group_3"
579.78026206939,0,41,"group_3"
594.354724515418,1,41,"group_3"
614.094251899378,2,41,"group_3"
656.265911996822,3,41,"group_3"
677.59942028982,4,41,"group_3"
608.238723621996,5,41,"group_3"
621.881007155463,6,41,"group_3"
711.180264834305,7,41,"group_3"
617.28569195131,8,41,"group_3"
806.31894972085,9,41,"group_3"
467.857305253435,0,42,"group_3"
488.597064651952,1,42,"group_3"
552.765060156855,2,42,"group_3"
648.056670947041,3,42,"group_3"
647.906218300491,4,42,"group_3"
662.158648291883,5,42,"group_3"
951.818230975501,6,42,"group_3"
738.650571211294,7,42,"group_3"
719.884342480915,8,42,"group_3"
543.397028163154,9,42,"group_3"
567.100010318384,0,43,"group_3"
594.806181659728,1,43,"group_3"
574.76110438262,2,43,"group_3"
626.633806040063,3,43,"group_3"
636.740088956486,4,43,"group_3"
718.76128985926,5,43,"group_3"
703.277551645804,6,43,"group_3"
740.02519897308,7,43,"group_3"
718.882551914917,8,43,"group_3"
787.034489890464,9,43,"group_3"
554.077002019448,0,44,"group_3"
547.262478385949,1,44,"group_3"
499.116729612108,2,44,"group_3"
543.391891091293,3,44,"group_3"
586.77346578702,4,44,"group_3"
593.841180121949,5,44,"group_3"
643.229592614281,6,44,"group_3"
691.70406598409,7,44,"group_3"
703.669888062471,8,44,"group_3"
797.503743884403,9,44,"group_3"
479.891091731445,0,45,"group_3"
540.958056004147,1,45,"group_3"
519.713412245221,2,45,"group_3"
566.03357983029,3,45,"group_3"
527.057421505757,4,45,"group_3"
527.742152636037,5,45,"group_3"
530.407842633458,6,45,"group_3"
493.914268909956,7,45,"group_3"
502.077726362624,8,45,"group_3"
522.007897787135,9,45,"group_3"
633.565303585432,0,46,"group_3"
646.213058527113,1,46,"group_3"
615.581808048517,2,46,"group_3"
709.298869260688,3,46,"group_3"
774.136517838607,4,46,"group_3"
842.369876985942,5,46,"group_3"
858.162587384382,6,46,"group_3"
877.833977173217,7,46,"group_3"
968.190190553713,8,46,"group_3"
969.024087447376,9,46,"group_3"
463.916898736553,0,47,"group_3"
479.308970379572,1,47,"group_3"
510.794751111142,2,47,"group_3"
517.984513077663,3,47,"group_3"
526.635350811922,4,47,"group_3"
555.406920283086,5,47,"group_3"
595.91003032576,6,47,"group_3"
659.841130628532,7,47,"group_3"
713.927245434588,8,47,"group_3"
765.200542986589,9,47,"group_3"
518.73864807199,0,48,"group_3"
496.881788166335,1,48,"group_3"
516.167829883035,2,48,"group_3"
527.113355578178,3,48,"group_3"
564.159025924922,4,48,"group_3"
680.753365651938,5,48,"group_3"
801.530584982382,6,48,"group_3"
768.490858253804,7,48,"group_3"
829.490685110622,8,48,"group_3"
838.577490116713,9,48,"group_3"
529.933603647146,0,49,"group_3"
610.815105122566,1,49,"group_3"
559.544848493417,2,49,"group_3"
597.627779176536,3,49,"group_3"
580.666851453656,4,49,"group_3"
653.863990317941,5,49,"group_3"
609.796670919065,6,49,"group_3"
542.049844197595,7,49,"group_3"
669.627442642308,8,49,"group_3"
740.062027131326,9,49,"group_3"
450.975531993071,0,50,"group_3"
621.824493953149,1,50,"group_3"
661.910714759273,2,50,"group_3"
732.115092910702,3,50,"group_3"
712.773746974114,4,50,"group_3"
733.932984361634,5,50,"group_3"
744.849090993619,6,50,"group_3"
767.637769541074,7,50,"group_3"
815.489964224062,8,50,"group_3"
840.201970170672,9,50,"group_3"
553.022210943828,0,51,"group_3"
548.974305096347,1,51,"group_3"
533.027538471294,2,51,"group_3"
577.872924094041,3,51,"group_3"
657.535879191568,4,51,"group_3"
664.781012377697,5,51,"group_3"
620.539272271098,6,51,"group_3"
741.159543643204,7,51,"group_3"
719.231178940445,8,51,"group_3"
789.504837924238,9,51,"group_3"
452.446335271261,0,52,"group_3"
480.747327066235,1,52,"group_3"
500.007269495313,2,52,"group_3"
491.788452286699,3,52,"group_3"
568.093032434597,4,52,"group_3"
717.337774423717,5,52,"group_3"
597.165054485644,6,52,"group_3"
751.81871076135,7,52,"group_3"
760.379037032939,8,52,"group_3"
783.879778979375,9,52,"group_3"
535.980305121117,0,53,"group_3"
551.008550904504,1,53,"group_3"
567.69056543609,2,53,"group_3"
575.690705187322,3,53,"group_3"
561.534006774775,4,53,"group_3"
601.459122196208,5,53,"group_3"
560.080932889387,6,53,"group_3"
638.435981863172,7,53,"group_3"
748.565540027823,8,53,"group_3"
787.920725356038,9,53,"group_3"
554.881125250768,0,54,"group_3"
581.855236917979,1,54,"group_3"
615.888621583277,2,54,"group_3"
651.125749876479,3,54,"group_3"
599.584266278532,4,54,"group_3"
683.132339813759,5,54,"group_3"
703.101373821503,6,54,"group_3"
729.471103207708,7,54,"group_3"
795.479737396827,8,54,"group_3"
783.983330492074,9,54,"group_3"
